delivery_date,sku_id,total_qty,Date,Open,High,Low,Close
4/1/2021,BK-1216,121,4/1/2021,2846.199951,2861.209961,2836.25,2858.899902
5/1/2021,BK-1216,75,5/1/2021,2842.060059,2859.679932,2832.040039,2859.679932
6/1/2021,BK-1216,79,6/1/2021,2858.530029,2865.040039,2852.320068,2863.01001
7/1/2021,BK-1216,68,7/1/2021,2892.330078,2912.699951,2884.179932,2906.969971
8/1/2021,BK-1216,72,8/1/2021,2935.179932,2993.189941,2933.709961,2993.189941
9/1/2021,BK-1216,139,0,0,0,0,0
10/1/2021,BK-1216,0,0,0,0,0,0
11/1/2021,BK-1216,116,11/1/2021,2983.5,2993.159912,2971.929932,2983.899902
12/1/2021,BK-1216,34,12/1/2021,2975.149902,2983.659912,2968.899902,2977.169922
13/1/2021,BK-1216,0,13/1/2021,2982.159912,2994.790039,2977.51001,2977.51001
14/1/2021,BK-1216,0,14/1/2021,2982,3001.340088,2979.379883,3000
15/1/2021,BK-1216,0,15/1/2021,2995.850098,3012.530029,2991.76001,3004.870117
16/1/2021,BK-1216,0,0,0,0,0,0
17/1/2021,BK-1216,2,0,0,0,0,0
18/1/2021,BK-1216,116,18/1/2021,2995.72998,2990.399902,2990.399902,2990.399902
19/1/2021,BK-1216,81,19/1/2021,2996.639893,3007.98999,2990.929932,2995.919922
20/1/2021,BK-1216,92,20/1/2021,2995.699951,3001.139893,2985.709961,2998.77002
21/1/2021,BK-1216,65,21/1/2021,3004.159912,3017.149902,2997.689941,3017.149902
22/1/2021,BK-1216,65,22/1/2021,3009.02002,3009.129883,2981.179932,2991.530029
23/1/2021,BK-1216,167,0,0,0,0,0
24/1/2021,BK-1216,2,0,0,0,0,0
25/1/2021,BK-1216,115,25/1/2021,2998.040039,3004.969971,2971.070068,2973.649902
26/1/2021,BK-1216,73,26/1/2021,2967.629883,2968.97998,2935.649902,2945.52002
27/1/2021,BK-1216,96,27/1/2021,2952.469971,2967.780029,2948.709961,2958.629883
28/1/2021,BK-1216,78,28/1/2021,2924.47998,2930.75,2911.75,2920.300049
29/1/2021,BK-1216,72,29/1/2021,2941.580078,2950.75,2887.199951,2902.52002
30/1/2021,BK-1216,167,0,0,0,0,0
31/1/2021,BK-1216,1,0,0,0,0,0
1/2/2021,BK-1216,110,1/2/2021,2888.75,2901.780029,2873.77002,2896.320068
2/2/2021,BK-1216,72,2/2/2021,2906.199951,2918.850098,2902.01001,2917.290039
3/2/2021,BK-1216,85,3/2/2021,2932.719971,2939.350098,2927.050049,2927.469971
4/2/2021,BK-1216,80,4/2/2021,2933.080078,2936.590088,2884.73999,2905.580078
5/2/2021,BK-1216,75,5/2/2021,2916.060059,2917.590088,2903.370117,2907.110107
6/2/2021,BK-1216,159,0,0,0,0,0
7/2/2021,BK-1216,2,0,0,0,0,0
8/2/2021,BK-1216,111,8/2/2021,2909.800049,2938.149902,2908.179932,2931.399902
9/2/2021,BK-1216,74,9/2/2021,2946.199951,2959.659912,2924.800049,2935.27002
10/2/2021,BK-1216,101,10/2/2021,2936.100098,2938.209961,2919.97998,2925.840088
11/2/2021,BK-1216,99,11/2/2021,2915.97998,2926.340088,2914.899902,2925.47998
12/2/2021,BK-1216,93,0,0,0,0,0
13/2/2021,BK-1216,209,0,0,0,0,0
14/2/2021,BK-1216,3,0,0,0,0,0
15/2/2021,BK-1216,103,15/2/2021,2929.939941,2946.219971,2929.060059,2931.52002
16/2/2021,BK-1216,51,16/2/2021,2935.580078,2945.290039,2932.199951,2935.340088
17/2/2021,BK-1216,72,17/2/2021,2913.810059,2928.25,2909.540039,2920.429932
18/2/2021,BK-1216,56,18/2/2021,2917.929932,2921.709961,2901.090088,2908.850098
19/2/2021,BK-1216,70,19/2/2021,2896.909912,2880.639893,2880.639893,2880.639893
20/2/2021,BK-1216,159,0,0,0,0,0
21/2/2021,BK-1216,0,0,0,0,0,0
22/2/2021,BK-1216,101,22/2/2021,2888.290039,2897.530029,2876.889893,2881.209961
23/2/2021,BK-1216,51,23/2/2021,2879.639893,2905.219971,2875.899902,2890.699951
24/2/2021,BK-1216,65,24/2/2021,2897.719971,2935.76001,2896.570068,2924.580078
25/2/2021,BK-1216,68,25/2/2021,2951.030029,2976.360107,2949.620117,2973.540039
26/2/2021,BK-1216,51,26/2/2021,2923.22998,2951.290039,2921.100098,2949.040039
27/2/2021,BK-1216,161,0,0,0,0,0
28/2/2021,BK-1216,1,0,0,0,0,0
1/3/2021,BK-1216,125,1/3/2021,2948.689941,2981.5,2948.639893,2973
2/3/2021,BK-1216,66,2/3/2021,2989.800049,3000.060059,2970.919922,2973.870117
3/3/2021,BK-1216,89,3/3/2021,2991.120117,3000.439941,2980.679932,3000.370117
4/3/2021,BK-1216,79,4/3/2021,2987.659912,3015.870117,2981.340088,3014.780029
5/3/2021,BK-1216,93,5/3/2021,3005.899902,3028.439941,2992.22998,3013.850098
6/3/2021,BK-1216,183,0,0,0,0,0
