delivery_date,sku_id,total_qty
2021/1/4,BK-1135,0
2021/1/4,BK-1211,0
2021/1/4,BK-1214,50
2021/1/4,BK-1215,0
2021/1/4,BK-1216,0
2021/1/4,BK-1217,0
2021/1/4,BK-1218,0
2021/1/4,BK-1320,38
2021/1/4,BK-1332,21
2021/1/4,BK-1333,16
2021/1/4,BK-1334,20
2021/1/4,BK-1341,30
2021/1/4,BK-1345,29
2021/1/4,BK-1346,0
2021/1/4,BK-1349,0
2021/1/4,BK-1350,0
2021/1/4,BK-1351,0
2021/1/4,BK-1411,32
2021/1/4,BK-1412,0
2021/1/4,BK-1414,0
2021/1/4,BK-1617,26
2021/1/4,BK-1619,29
2021/1/4,BK-1704,22
2021/1/4,BK-1810,1
2021/1/4,BK-1854,10
2021/1/4,BK-1860,19
2021/1/4,BK-1862,0
2021/1/4,BK-1863,14
2021/1/4,BK-1867,0
2021/1/4,BK-1871,0
2021/1/4,BK-1872,0
2021/1/4,BK-1876,0
2021/1/4,BK-1879,0
2021/1/4,BK-1880,0
2021/1/4,BK-1881,0
2021/1/4,BK-2215,0
2021/1/4,BK-2416,6
2021/1/4,BK-2723,3
2021/1/4,BK-2725,0
2021/1/4,BK-2742,0
2021/1/4,BK-3106,0
2021/1/4,BK-3147,0
2021/1/4,BK-3157,0
2021/1/4,BK-3165,0
2021/1/4,BK-3167,0
2021/1/4,BK-3169,0
2021/1/4,BK-3170,0
2021/1/4,BK-3242,70
2021/1/4,BK-3243,20
2021/1/4,BK-3263,0
2021/1/4,BK-3270,0
2021/1/4,BK-3271,0
2021/1/4,BK-3272,0
2021/1/4,BK-3273,0
2021/1/4,BK-3275,0
2021/1/4,BK-4123,1
2021/1/4,BK-4124,1
2021/1/4,BK-4204,0
2021/1/4,BK-4205,5
2021/1/4,BK-4207,2
2021/1/4,BK-4211,2
2021/1/4,BK-4214,2
2021/1/4,BK-4215,2
2021/1/4,BK-4218,0
2021/1/4,BK-5152,13
2021/1/4,BK-5159,12
2021/1/4,BK-5160,6
2021/1/4,BK-5161,3
2021/1/4,BK-5162,4
2021/1/4,BK-5195,2
2021/1/4,BK-5196,0
2021/1/4,BK-5197,1
2021/1/4,BK-5198,0
2021/1/4,BK-5201,0
2021/1/4,BK-5205,0
2021/1/4,BK-5206,0
2021/1/4,BK-5207,0
2021/1/4,BK-5208,0
2021/1/4,BK-5209,0
2021/1/4,BK-5210,0
2021/1/4,BK-5211,4
2021/1/4,BK-5212,9
2021/1/4,BK-5216,10
2021/1/4,BK-5217,10
2021/1/4,BK-5221,0
2021/1/4,BK-5292,19
2021/1/4,BK-5293,84
2021/1/4,BK-5297,0
2021/1/4,BK-5298,3
2021/1/4,BK-5299,18
2021/1/4,BK-5300,1
2021/1/4,BK-5301,2
2021/1/4,BK-5303,4
2021/1/4,BK-5308,0
2021/1/4,BK-5313,0
2021/1/4,BK-5316,8
2021/1/4,BK-5317,11
2021/1/4,BK-5322,0
2021/1/4,BK-5324,4
2021/1/4,BK-5328,7
2021/1/4,BK-5329,6
2021/1/4,BK-5330,3
2021/1/4,BK-5331,0
2021/1/4,BK-5332,1
2021/1/4,BK-5333,0
2021/1/4,BK-5334,1
2021/1/4,BK-5335,0
2021/1/4,BK-5337,0
2021/1/4,BK-5338,1
2021/1/4,BK-5339,0
2021/1/4,BK-5342,0
2021/1/4,BK-5348,0
2021/1/4,BK-5349,0
2021/1/4,BK-5350,0
2021/1/4,BK-5351,0
2021/1/4,BK-5440,0
2021/1/4,BK-5442,0
2021/1/4,BK-5443,0
2021/1/4,BK-5444,0
2021/1/4,BK-5445,0
2021/1/4,BK-5446,0
2021/1/4,BK-5447,0
2021/1/4,BK-5448,0
2021/1/4,BK-5449,0
2021/1/4,BK-5450,0
2021/1/4,BK-5451,0
2021/1/4,BK-5452,0
2021/1/4,BK-5453,0
2021/1/4,BK-6101,0
2021/1/4,BK-6220,1
2021/1/4,BK-6221,0
2021/1/4,BK-6222,0
2021/1/4,BK-6311,0
2021/1/4,BK-6320,0
2021/1/4,BK-6321,4
2021/1/4,BK-7812,18
2021/1/4,BK-9507,1
2021/1/4,BK-9508,0
2021/1/4,BK-9509,0
2021/1/4,BK-9511,0
2021/1/4,BK-9515,0
2021/1/4,BK-9516,0
2021/1/4,BK-9517,0
2021/1/4,BK-9518,0
2021/1/4,BK-9519,0
2021/1/4,BK-9520,0
2021/1/4,BK-9521,0
2021/1/4,BK-9522,0
2021/1/4,BK-9526,0
2021/1/4,BK-9528,0
2021/1/5,BK-1135,0
2021/1/5,BK-1211,0
2021/1/5,BK-1214,18
2021/1/5,BK-1215,0
2021/1/5,BK-1216,0
2021/1/5,BK-1217,0
2021/1/5,BK-1218,0
2021/1/5,BK-1320,17
2021/1/5,BK-1332,9
2021/1/5,BK-1333,8
2021/1/5,BK-1334,8
2021/1/5,BK-1341,20
2021/1/5,BK-1345,14
2021/1/5,BK-1346,0
2021/1/5,BK-1349,0
2021/1/5,BK-1350,0
2021/1/5,BK-1351,0
2021/1/5,BK-1411,20
2021/1/5,BK-1412,0
2021/1/5,BK-1414,0
2021/1/5,BK-1617,17
2021/1/5,BK-1619,18
2021/1/5,BK-1704,14
2021/1/5,BK-1810,2
2021/1/5,BK-1854,6
2021/1/5,BK-1860,10
2021/1/5,BK-1862,0
2021/1/5,BK-1863,12
2021/1/5,BK-1867,0
2021/1/5,BK-1871,0
2021/1/5,BK-1872,0
2021/1/5,BK-1876,0
2021/1/5,BK-1879,0
2021/1/5,BK-1880,0
2021/1/5,BK-1881,0
2021/1/5,BK-2215,0
2021/1/5,BK-2416,4
2021/1/5,BK-2723,6
2021/1/5,BK-2725,0
2021/1/5,BK-2742,0
2021/1/5,BK-3106,0
2021/1/5,BK-3147,0
2021/1/5,BK-3157,0
2021/1/5,BK-3165,0
2021/1/5,BK-3167,0
2021/1/5,BK-3169,0
2021/1/5,BK-3170,0
2021/1/5,BK-3242,35
2021/1/5,BK-3243,8
2021/1/5,BK-3263,0
2021/1/5,BK-3270,0
2021/1/5,BK-3271,0
2021/1/5,BK-3272,0
2021/1/5,BK-3273,0
2021/1/5,BK-3275,0
2021/1/5,BK-4123,0
2021/1/5,BK-4124,0
2021/1/5,BK-4204,0
2021/1/5,BK-4205,2
2021/1/5,BK-4207,2
2021/1/5,BK-4211,0
2021/1/5,BK-4214,1
2021/1/5,BK-4215,0
2021/1/5,BK-4218,0
2021/1/5,BK-5152,6
2021/1/5,BK-5159,8
2021/1/5,BK-5160,3
2021/1/5,BK-5161,2
2021/1/5,BK-5162,0
2021/1/5,BK-5195,0
2021/1/5,BK-5196,0
2021/1/5,BK-5197,0
2021/1/5,BK-5198,0
2021/1/5,BK-5201,0
2021/1/5,BK-5205,0
2021/1/5,BK-5206,0
2021/1/5,BK-5207,0
2021/1/5,BK-5208,0
2021/1/5,BK-5209,0
2021/1/5,BK-5210,0
2021/1/5,BK-5211,3
2021/1/5,BK-5212,6
2021/1/5,BK-5216,4
2021/1/5,BK-5217,7
2021/1/5,BK-5221,0
2021/1/5,BK-5292,6
