date,DCC0040180,DCC0040330,DCC0040500,FX00020200,FX00020251,FX00020500,FX00020750,FX00021001,FX00022000,FXC0020180,FXC0020200,GIC0120300,KO00010200,KO00010251,KO00010300,KO00010500,KO00010750,KO00011001,KO00012000,KOC0010180,KOC0010200,KOC0010330,KS00100300,KS00100750,KW00110500,KW00111000,LX00060200,LX00060251,LX00060300,LX00060500,LX00060600,LX00060750,LX00061001,LX00062000,LXC0060180,LXC0060200,MM00181001,MON0330350,MZ00090600,MZ00091200,MZ00091751,SP00030200,SP00030251,SP00030300,SP00030500,SP00030750,SP00031001,SP00032000,SPC0030180,SPC0030200,SSW0100300,STW0110300,TU00050200,TU00050251,TU00050500,TU00050750,TU00051001,TU00052000,TUC0050180,TUC0050200,ZKC0700180,ZKC0700300
2021/4/4,2430,100,2428,360,4805,2576,1476,615,10958,644,516,365,1091,21174,1205,17080,15889,11019,51071,4926,2503,300,186,33,413,24142,1458,17245,1823,10157,126,7916,10717,34996,813,610,1557,27,7198,6159,11400,535,8825,880,5433,560,465,10877,1140,600,100,495,140,15357,2731,4266,2037,5906,3497,652,612,382
2021/4/11,6877,0,8781,525,9445,5591,5821,3559,28958,1073,1369,111,7676,45161,2342,24246,24906,39457,96700,6661,6907,0,33,19008,681,49044,3595,34371,2250,16971,470,20075,18768,78232,1783,1421,1574,1050,14233,9627,18162,1355,9239,1171,9457,10301,26,23862,3128,3483,20,0,430,16793,4377,4152,2546,8743,4150,1796,499,1885
2021/4/18,4571,0,3699,380,4190,5377,3014,3071,24431,776,227,21,18747,31379,1306,24104,22871,36676,117890,5475,3877,0,0,12606,1169,47180,3435,34081,2098,16908,390,16125,19754,63865,1429,346,1138,1240,15842,16993,23151,835,12936,1306,6158,7056,10197,21610,1545,959,59,0,2120,13504,3390,4115,2614,10931,3331,1231,540,770
2021/4/25,1915,0,2186,395,6411,2016,831,2060,11672,179,58,100,11784,24420,5660,11829,13947,26443,84256,3129,2325,0,0,11948,645,42136,2020,21087,2078,11465,0,10855,14722,103280,600,205,684,35,15700,14049,39721,1100,6035,1201,4881,3428,5677,16012,778,330,0,400,1046,14465,1590,1915,1296,10037,3928,752,629,651
2021/5/2,2308,0,1512,36,6502,2265,3074,1576,18083,678,108,68,9441,29875,2466,14016,16213,22741,58020,2698,804,0,0,16091,513,66597,2212,25748,2209,10624,126,12526,12828,46287,955,380,773,12,12113,8410,14494,506,10270,808,3500,4296,3606,14896,942,76,0,8,330,11142,1910,2551,721,5135,786,663,578,1384
2021/5/9,1138,100,1145,40,7267,3625,2726,208,19866,62,182,2,9980,31085,860,12540,20674,18065,51329,944,791,0,0,5953,537,33899,2530,35171,240,12130,0,16762,11837,45952,272,12,5,11,14692,14246,19722,695,9997,104,5975,3418,2317,13894,103,11,0,4,240,13928,3605,2452,914,10429,246,71,260,178
2021/5/16,1891,0,281,0,3587,1928,1587,115,10616,310,21,66,7031,38774,568,15555,21063,15980,36687,1505,1407,0,0,7403,261,8448,570,32449,767,11615,185,16054,10475,26355,540,49,0,424,8179,7206,11932,20,6742,104,3740,3757,2485,7204,415,184,10,8,50,13414,1410,745,715,3499,697,281,1417,1453
2021/5/23,1202,0,3872,70,2067,1027,1238,42,14361,101,112,61,7770,49965,765,15174,23094,27992,50786,2129,1303,0,0,12781,1121,10364,550,39507,212,11694,1568,15058,11615,33820,140,411,0,116,14244,13082,17664,70,17558,63,5360,3604,3894,10635,316,190,0,2,0,13989,2062,1115,2205,5070,1846,656,517,438
2021/5/30,2542,0,3909,70,2887,5362,422,3430,18976,449,11,248,8204,59181,1120,22912,28799,36830,70211,2295,976,0,0,30584,219,13149,690,53899,192,12216,387,17973,21437,44314,168,51,121,389,12523,9896,10064,80,19736,16,5870,4804,3059,9593,745,183,0,0,0,20459,4851,3646,804,3103,1904,80,855,422
2021/6/6,2876,0,1369,157,13456,4516,3366,2824,16542,781,49,70,12094,34053,2630,15496,14487,38545,65317,4115,4165,0,0,14661,584,25652,2335,46918,703,12779,0,11535,18392,45581,1186,362,13,634,14530,11374,19894,330,14852,554,8385,4425,6088,17195,1387,429,0,192,70,33451,6277,5043,3051,6956,4633,1078,1431,3145
